ancien_nom,nouveau_nom,nb_dossiers,nb_personnes
Ben Ali,Salmi,1,1
Kilani,Tebourbi,1,1
Ben Khemais,Tebourbi,1,1
Chaoula,Zbidi,1,1
Khemais,Seghir,1,1
Jelidi,Abdessamad,1,1
Fatnassia,Kasri,1,1
Fanassi,Kaci,1,8
Kaci,Kaci,1,1
Trabelsi,Mesrati,1,4
Barbouchi,Lajmi,1,2
Ben Fettan,M'barki,1,3
Bousebaâ Chaarat,Aref,1,2
Charrat,Aref,1,1
Ben Chaarat,Aref,1,1
Fredi,Cherif,1,14
Slima,Sallami,1,13
Ben Salha Ayat,Ayat,1,34
Bousetta,Rabal,1,1
Jaych,Abdelmoumen,1,14
Ben Hadj Saâd,Jabnoun,1,16
Hamouda,Romdhane,1,16
Goumid,Chérif,1,16
Zeghir,Abdelmounam,1,3
Khouldi,Dakkali,1,5
Tartari,Benmbarek,1,13
Chakhar,Saadi,1,5
Chakhar,Amri,1,1
Bouhali,Haji,1,25
Bouhali,Hasni,1,5
Bédhiba,Jouini,1,10
Hadj,Chérif,1,2
Boukhchach,Hamadi,1,4
Hadj Khélifa,Hamadi,1,11
Ali,Hamdani,1,25
Mit,Salhi,1,37
Boukhchach,Kassim,1,11
Hadj Mohamed,Boukhari,1,5
Chakhar,Jaouad,1,2
Gatous,Bouazza,1,2
Gatous,Khlifi,1,4
Gatous,Mahale,1,4
Gatous,Chaoulh,1,3
Mohamed,Jabran,1,6
Brahim,Ounis,1,2
Boufsaya,Gasmi,1,5
Boufsaya,Fassi,1,1
Chakhar,Tourki,1,1
Boufsaya,Salem,1,4
Ayeb,Abdi,1,31
Kafali,Znati,1,4
El Kar,Hattab,1,3
Chakemouch,Benmbarek,1,13
Laouaj,Benhouidi,1,3
Hadad,Chebli,1,4
Chenina,Benmabrouka,1,20
Carti,Sayari,1,32
Ouannadi,Mannadi,1,1
Mounadi,Mannadi,1,24
Bacouche,Benabdsseid,1,18
Matoug,Benatik,1,18
Amar,Khadhraoui,1,16
Hamed,Benehmaid,1,56
Aouameria,Benabdallah,1,37
Ayeb,Alssaoui,1,9
Ayeb,Aïssaoui,1,20
Bacouche,Grichi,1,12
Ameuri,Gasmi,1,3
Ayeb,Abaab,1,11
Chetih,Bensbih,1,25
Kenidi,Thabti,1,104
Taftazani,Thabti,1,26
Geribi,Thabti,1,17
Maaloul,Soualhi,1,7
