adm3_pcode,governorate_name,delegation_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN3456,Sfax,Thyna,40,15,37.5,9,60.0,35.7,80.2,9,60.0,9,0,0,9,0,0,60.0,0.0,0.0,1
TN3457,Sfax,Agareb,40,17,42.5,15,88.2,65.7,96.7,15,88.2,15,0,0,15,0,0,88.2,0.0,0.0,0
TN3458,Sfax,Jebeniana,42,15,35.7,3,20.0,7.0,45.2,4,26.7,4,0,0,3,0,0,20.0,0.0,0.0,0
TN3459,Sfax,El Amra,26,7,26.9,4,57.1,25.0,84.2,6,85.7,6,0,0,4,0,0,57.1,0.0,0.0,0
TN3460,Sfax,Hencha,45,13,28.9,10,76.9,49.7,91.8,10,76.9,10,0,0,10,0,0,76.9,0.0,0.0,0
TN3461,Sfax,Menzel Chaker,39,14,35.9,3,21.4,7.6,47.6,5,35.7,5,0,0,3,0,0,21.4,0.0,0.0,0
TN3462,Sfax,El Ghraiba,15,7,46.7,7,100.0,64.6,100.0,8,114.3,8,0,0,7,0,0,100.0,0.0,0.0,0
TN3463,Sfax,Bir Ali Ben Khélifa,66,31,47.0,10,32.3,18.6,49.9,12,38.7,12,0,0,10,0,0,32.3,0.0,0.0,0
TN3464,Sfax,Skhira,43,16,37.2,16,100.0,80.6,100.0,20,125.0,20,0,0,16,0,0,100.0,0.0,0.0,0
TN3465,Sfax,Mahres,33,19,57.6,7,36.8,19.1,59.0,7,36.8,7,0,0,7,0,0,36.8,0.0,0.0,0
TN3466,Sfax,Kerkennah,18,6,33.3,5,83.3,43.6,97.0,8,133.3,8,0,0,5,0,0,83.3,0.0,0.0,0
TN4151,Kairouan,Kairouan Nord,29,9,31.0,3,33.3,12.1,64.6,3,33.3,3,0,0,3,0,0,33.3,0.0,0.0,1
