governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
القريوان,القريوان,الوسلاتية,جبل الريحان,م إبتدائية السلام - جبل الريحان,E.P. BAZINA ESSALEM -  JBEL ERIHAN,3076,القيروان,40
القريوان,القريوان,الوسلاتية,جبل الريحان,م إبتدائية الصدارة - جبل الريحان,E.P.SDARA JEBEL RIHANE,3077,القيروان,40
القريوان,القريوان,الوسلاتية,جبل الريحان,م إبتدائية بي غرزان - جبل الريحان,E.P.BIR GHERZANE -  JBEL ERIHAN,3078,القيروان,40
القريوان,القريوان,الوسلاتية,جبل الريحان,م إبتدائية رأس العيثة - جبل الريحان,E.P.ROUISSA RAS EL ITHA- JBEL ERIHAN,3079,القيروان,40
القريوان,القريوان,الوسلاتية,جبل الشج,م إبتدائية الحمالة - جبل الشج,E.P.HAMMALAEL - JBEL ESSARJ,3080,القيروان,40
القيوان ر,القيوان ر,الوسلاتية,جبل الشج,م إبتدائية الشج - جبل الشج,E.P.ESSARJ - JBEL ESSARJ,3081,القيروان,40
القيوان ر,القيوان ر,الوسلاتية,جبل الشج,م إبتدائية القليعة - جبل الشج,E.P.GLEAA - JBEL ESSARJ,3082,القيروان,40
القيوان ر,القيوان ر,الوسلاتية,جبل الشج,م إبتدائية أولاد بامر - جبل الشج,E.P.OULED BAMER  JEBEL ESSARJ,3083,القيروان,40
القيوان ر,القيوان ر,الوسلاتية,زغدود,م إبتدائية الأبية - زغدود ر,E.P.OUBIRA - ZAGHDOUD,3084,القيروان,40
القريوان,القريوان,الوسلاتية,زغدود,م إبتدائية الصعانري - زغدود,E.P.SAANINE  - ZAGHDOUD,3085,القيروان,40
القريوان,القريوان,الوسلاتية,زغدود,م إبتدائية زغدود,E.P.ZAGHDOUD,3086,القيروان,40
القريوان,القريوان,الوسلاتية,معروف,م إبتدائية الطاوسة - معروف,E.P.ETTAOUSSA  - MAROUF,3087,القيروان,40
القريوان,القريوان,الوسلاتية,معروف,م إبتدائية أولاد عيار - معروف,E.P.OULED AYAR  - MAROUF,3088,القيروان,40
القريوان,القريوان,الوسلاتية,معروف,م إبتدائية قض اللمسة - معروف,E.P.KSAR LEMSA MAAROUF,3089,القيروان,40
القريوان,القريوان,الوسلاتية,وادي القصب,م إبتدائية وادي القصب,E.P.OUED KSAB,3090,القيروان,40
القريوان,القريوان,بوحجلة,ر الشايطية الشمالية,ر م إبتدائية 02مارس 65 - الشايطية الشمالية,E.P.20 MARS 56 - CHRAYTIA NORD,3091,القيروان,40
