date,year,language,slug,title_from_slug,attachments,section,source_url,drive_folder_id
2020-11-30,2020,fr,communique-de-presse-sur-le-projet-du-musee-de-la-democratie,communique de presse sur le projet du musee de la democratie,0,actualites,https://www.isie.tn/actualites/2020/11/30/communique-de-presse-sur-le-projet-du-musee-de-la-democratie/,1G2z-yTiw9SJwhVh9Ts2ijWtw4VlJNSNS
2020-12-22,2020,fr,لقاء-مع-مجموعـة-الشباب-من-ذوي-الإعاقة,لقاء مع مجموعـة الشباب من ذوي الإعاقة,17,actualites,https://www.isie.tn/actualites/2020/12/22/لقاء-مع-مجموعـة-الشباب-من-ذوي-الإعاقة/,1np85o3HUW-fqW_qVIvkknIgjsfnMqKw2
2021-03-16,2021,fr,les-resultats-preliminaires-de-lelection-municipale-partielle-sers-2021,les resultats preliminaires de lelection municipale partielle sers 2021,0,actualites,https://www.isie.tn/actualites/2021/03/16/les-resultats-preliminaires-de-lelection-municipale-partielle-sers-2021/,1QSVPVkxakzw48O5aDxswsN6b2ki6ckTK
2021-03-25,2021,fr,les-resultats-definitifs-de-lelection-municipale-partielle-sers-2021,les resultats definitifs de lelection municipale partielle sers 2021,0,actualites,https://www.isie.tn/actualites/2021/03/25/les-resultats-definitifs-de-lelection-municipale-partielle-sers-2021/,16q-6v6GHMiqFi-J0BoUtLabjHkPn-_4Y
2021-04-08,2021,fr,le-calendrier-des-elections-municipales-partielles-dans-la-commune-de-skhira-pour-lannee-2021,le calendrier des elections municipales partielles dans la commune de skhira pour lannee 2021,0,actualites,https://www.isie.tn/actualites/2021/04/08/le-calendrier-des-elections-municipales-partielles-dans-la-commune-de-skhira-pour-lannee-2021/,1My9HLqWWgs6ykZQIpYuicB2jZzuzbT1t
2021-06-08,2021,fr,les-resultats-preliminaires-de-lelection-municipale-partielle-ain-sobh-nadhour-2021,les resultats preliminaires de lelection municipale partielle ain sobh nadhour 2021,0,actualites,https://www.isie.tn/actualites/2021/06/08/les-resultats-preliminaires-de-lelection-municipale-partielle-ain-sobh-nadhour-2021/,1XBuYeZ2wqc0B7hAtsBmzutYfiyq4N1Sm
2021-06-08,2021,fr,les-resultats-preliminaires-de-lelection-municipale-partielle-sakiet-eddaier-2021,les resultats preliminaires de lelection municipale partielle sakiet eddaier 2021,0,actualites,https://www.isie.tn/actualites/2021/06/08/les-resultats-preliminaires-de-lelection-municipale-partielle-sakiet-eddaier-2021/,1EsoYiRFzite0yJRsEoIeYWkWGbeO6Yr5
2021-06-15,2021,fr,resultats-definitifs-ain-sobh-nadhour,resultats definitifs ain sobh nadhour,0,actualites,https://www.isie.tn/actualites/2021/06/15/resultats-definitifs-ain-sobh-nadhour/,16lP0CB_AHODjVgDHLlHhI0KRI3Vqyzlo
2021-06-15,2021,fr,resultats-definitifs-sakiet-eddaier,resultats definitifs sakiet eddaier,0,actualites,https://www.isie.tn/actualites/2021/06/15/resultats-definitifs-sakiet-eddaier/,1c3JLcx--oc7ZhGhaekfiQDfeywmiDz4s
2021-06-15,2021,fr,resultats-preliminaires-shkira,resultats preliminaires shkira,0,actualites,https://www.isie.tn/actualites/2021/06/15/resultats-preliminaires-shkira/,1Vbvpwje83Hy99x4nIS3Vq6WOpRZX7-w9
2021-06-21,2021,fr,بلاغ-انتخابات-السبيخة,بلاغ انتخابات السبيخة,0,actualites,https://www.isie.tn/actualites/2021/06/21/بلاغ-انتخابات-السبيخة/,1OfOzEBsIz7ZphmCFEx2A6zhvKGu-Ep5B
2021-06-22,2021,fr,les-resultats-definitifs-de-lelection-municipale-partielle-skhira-2021,les resultats definitifs de lelection municipale partielle skhira 2021,0,actualites,https://www.isie.tn/actualites/2021/06/22/les-resultats-definitifs-de-lelection-municipale-partielle-skhira-2021/,1PrI5UKh7aKb6k554kpv0RsrI3oA15KK6
2021-06-30,2021,fr,إدماج-مقاربة-النوع-الاجتماعي,إدماج مقاربة النوع الاجتماعي,4,actualites,https://www.isie.tn/actualites/2021/06/30/إدماج-مقاربة-النوع-الاجتماعي/,17D7oWvWM69PmMnYU4z4GvlLGCBvZ3cH4
2021-10-06,2021,fr,2021-روزنامة-الانتخابات-الجزئية,2021 روزنامة الانتخابات الجزئية,0,actualites,https://www.isie.tn/actualites/2021/10/06/2021-روزنامة-الانتخابات-الجزئية/,1E0RyUgrukMow4szLPOnqrXBHuYUdJGza
2021-10-06,2021,fr,استئناف-تنفيذ-روزنامة-الانتخابات-الب,استئناف تنفيذ روزنامة الانتخابات الب,0,actualites,https://www.isie.tn/actualites/2021/10/06/استئناف-تنفيذ-روزنامة-الانتخابات-الب/,1V3mJc_0cHYTfOOkitfxRRv5Gb7RpLl55
2021-10-14,2021,fr,2021-روزنامة-طبرقة-عميرة-الفحول,2021 روزنامة طبرقة عميرة الفحول,0,actualites,https://www.isie.tn/actualites/2021/10/14/2021-روزنامة-طبرقة-عميرة-الفحول/,1ap8Rhc4HAVuba8X3HFTscGGlOj8M2SVG
2021-11-02,2021,fr,les-resultats-preliminaires-des-elections-municipales-partielles-dans-la-municipalite-de-menzel-kamel-2021,les resultats preliminaires des elections municipales partielles dans la municipalite de menzel kamel 2021,0,actualites,https://www.isie.tn/actualites/2021/11/02/les-resultats-preliminaires-des-elections-municipales-partielles-dans-la-municipalite-de-menzel-kamel-2021/,1BV6uRmPn5tTgRX_S7fGrkcNRmG5AufQZ
2021-11-09,2021,fr,les-resultats-definitifs-des-elections-municipales-partielles-dans-la-municipalite-de-menzel-kamel-2021,les resultats definitifs des elections municipales partielles dans la municipalite de menzel kamel 2021,0,actualites,https://www.isie.tn/actualites/2021/11/09/les-resultats-definitifs-des-elections-municipales-partielles-dans-la-municipalite-de-menzel-kamel-2021/,1xc4zwCelyzwAIwj-xTVamzYsIjzyGOUc
2021-11-22,2021,fr,le-calendrier-des-elections-municipales-partielles-dans-la-municipalite-de-chihia-pour-lannee-2022,le calendrier des elections municipales partielles dans la municipalite de chihia pour lannee 2022,0,actualites,https://www.isie.tn/actualites/2021/11/22/le-calendrier-des-elections-municipales-partielles-dans-la-municipalite-de-chihia-pour-lannee-2022/,1AfHr8aSF6L3fo1hSPXsh4wqEogyt45_0
2021-12-03,2021,fr,rencontre-instance-superieure-independante-pour-les-elections-commission-libyenne-des-debats-presidentiels,rencontre instance superieure independante pour les elections commission libyenne des debats presidentiels,11,actualites,https://www.isie.tn/actualites/2021/12/03/rencontre-instance-superieure-independante-pour-les-elections-commission-libyenne-des-debats-presidentiels/,1B4ha0NoHmDevmrhac_Gdj8aG9p4CdO0Z
2022-02-09,2022,fr,les-resultats-definitifs-des-elections-municipales-partielles-dans-la-municipalite-damiret-el-fhoul-2021,les resultats definitifs des elections municipales partielles dans la municipalite damiret el fhoul 2021,0,actualites,https://www.isie.tn/actualites/2022/02/09/les-resultats-definitifs-des-elections-municipales-partielles-dans-la-municipalite-damiret-el-fhoul-2021/,1FtfHQ_VvW7i9DK3Fdt7Q93xIUup3QAuU
2022-03-29,2022,fr,le-calendrier-des-elections-municipales-partielles-dans-la-municipalite-beni-mtir-2022,le calendrier des elections municipales partielles dans la municipalite beni mtir 2022,0,actualites,https://www.isie.tn/actualites/2022/03/29/le-calendrier-des-elections-municipales-partielles-dans-la-municipalite-beni-mtir-2022/,1ZiHfZuYnYNFAkMSwpXA2g28k3j6hR5yK
2022-06-01,2022,fr,رئيس-الهيئة-العليا-المستقلة-للانتخاب,رئيس الهيئة العليا المستقلة للانتخاب,5,actualites,https://www.isie.tn/actualites/2022/06/01/رئيس-الهيئة-العليا-المستقلة-للانتخاب/,1nHzt-w-JXBHKxJyVGEVq97CzLl3bofgt
2022-06-01,2022,fr,مذكرة-تفاهم-مع-وزارة-الشؤون-الخارجية,مذكرة تفاهم مع وزارة الشؤون الخارجية,9,actualites,https://www.isie.tn/actualites/2022/06/01/مذكرة-تفاهم-مع-وزارة-الشؤون-الخارجية/,1QmnpMwnjTWMJQHonwDudbdWvHEwh9Fs-
2022-06-02,2022,fr,رئيس-الهيئة-يستقبل-وفدا-عن-الهيكا,رئيس الهيئة يستقبل وفدا عن الهيكا,4,actualites,https://www.isie.tn/actualites/2022/06/02/رئيس-الهيئة-يستقبل-وفدا-عن-الهيكا/,135RDf5KvL_9woAQb3QHuwoGRme_TA58A
2022-06-06,2022,fr,لقاء-مع-المركز-التونسي-المتوسطي,لقاء مع المركز التونسي المتوسطي,4,actualites,https://www.isie.tn/actualites/2022/06/06/لقاء-مع-المركز-التونسي-المتوسطي/,1i58898cdlio1Rap1B-M4_0RA3XHj5S2H
2022-06-08,2022,fr,اجتماع-مع-ممثلي-عدد-من-الوزارات,اجتماع مع ممثلي عدد من الوزارات,4,actualites,https://www.isie.tn/actualites/2022/06/08/اجتماع-مع-ممثلي-عدد-من-الوزارات/,17gfBJxzmHvTbpWU98Guvxx1OahAjGUqY
2022-06-14,2022,fr,جلسة-عمل-حول-التدقيق-في-سجل-الناخبين,جلسة عمل حول التدقيق في سجل الناخبين,4,actualites,https://www.isie.tn/actualites/2022/06/14/جلسة-عمل-حول-التدقيق-في-سجل-الناخبين/,1BSKo9_UW_mzI8uiMCO3qwxlRyYEVggBi
2022-06-14,2022,fr,لقاء-مع-سفير-ألمانيا,لقاء مع سفير ألمانيا,4,actualites,https://www.isie.tn/actualites/2022/06/14/لقاء-مع-سفير-ألمانيا/,14lg60Vb7yhFCUfPo_31j80HATF0WAESg
