round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r1,قبلي,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,86,0.15,agree,58001
r1,قبلي,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,45239,78.0,agree,58001
r1,قبلي,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,61,0.11,agree,58001
r1,قبلي,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,673,1.16,agree,58001
r1,قبلي,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,1381,2.38,agree,58001
r1,فرنسا 1,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,43,0.11,agree,39495
r1,فرنسا 1,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,2,0.01,agree,39495
r1,فرنسا 1,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,540,1.37,agree,39495
r1,فرنسا 1,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,382,0.97,agree,39495
r1,فرنسا 1,5,agree,سالم شائبي,سالم بن عمار الشائبي,9,0.02,agree,39495
r1,فرنسا 1,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,54,0.14,agree,39495
r1,فرنسا 1,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,14811,37.5,agree,39495
r1,فرنسا 1,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,500,1.27,agree,39495
r1,فرنسا 1,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,10,0.03,agree,39495
r1,فرنسا 1,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,62,0.16,agree,39495
r1,فرنسا 1,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,191,0.48,agree,39495
r1,فرنسا 1,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,13,0.03,agree,39495
r1,فرنسا 1,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,622,1.57,agree,39495
r1,فرنسا 1,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,27,0.07,agree,39495
r1,فرنسا 1,15,agree,علي شورابي,علي المولدي بن محمد شورابي,9,0.02,agree,39495
r1,فرنسا 1,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,194,0.49,agree,39495
r1,فرنسا 1,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,14,0.04,agree,39495
r1,فرنسا 1,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,5,0.01,agree,39495
r1,فرنسا 1,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,31,0.08,agree,39495
r1,فرنسا 1,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,43,0.11,agree,39495
r1,فرنسا 1,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,380,0.96,agree,39495
r1,فرنسا 1,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,15,0.04,agree,39495
r1,فرنسا 1,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,131,0.33,agree,39495
r1,فرنسا 1,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,16563,41.94,agree,39495
r1,فرنسا 1,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,13,0.03,agree,39495
r1,فرنسا 1,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,486,1.23,agree,39495
r1,فرنسا 1,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,4345,11.0,agree,39495
r1,فرنسا 2,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,76,0.24,agree,31592
r1,فرنسا 2,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,12,0.04,agree,31592
r1,فرنسا 2,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,320,1.01,agree,31592
r1,فرنسا 2,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,401,1.27,agree,31592
r1,فرنسا 2,5,agree,سالم شائبي,سالم بن عمار الشائبي,21,0.07,agree,31592
r1,فرنسا 2,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,53,0.17,agree,31592
r1,فرنسا 2,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,13836,43.8,agree,31592
r1,فرنسا 2,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,514,1.63,agree,31592
r1,فرنسا 2,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,56,0.18,agree,31592
r1,فرنسا 2,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,64,0.2,agree,31592
r1,فرنسا 2,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,179,0.57,agree,31592
r1,فرنسا 2,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,16,0.05,agree,31592
r1,فرنسا 2,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,358,1.13,agree,31592
r1,فرنسا 2,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,34,0.11,agree,31592
r1,فرنسا 2,15,agree,علي شورابي,علي المولدي بن محمد شورابي,23,0.07,agree,31592
r1,فرنسا 2,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,65,0.21,agree,31592
r1,فرنسا 2,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,33,0.1,agree,31592
r1,فرنسا 2,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,16,0.05,agree,31592
r1,فرنسا 2,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,41,0.13,agree,31592
r1,فرنسا 2,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,28,0.09,agree,31592
r1,فرنسا 2,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,296,0.94,agree,31592
r1,فرنسا 2,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,25,0.08,agree,31592
r1,فرنسا 2,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,125,0.4,agree,31592
r1,فرنسا 2,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,11224,35.53,agree,31592
r1,فرنسا 2,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,17,0.05,agree,31592
r1,فرنسا 2,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,962,3.05,agree,31592
r1,فرنسا 2,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,2797,8.85,agree,31592
r1,إيطاليا,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,13,0.19,agree,6797
r1,إيطاليا,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,3,0.04,agree,6797
r1,إيطاليا,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,58,0.85,agree,6797
r1,إيطاليا,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,53,0.78,agree,6797
r1,إيطاليا,5,agree,سالم شائبي,سالم بن عمار الشائبي,3,0.04,agree,6797
r1,إيطاليا,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,5,0.07,agree,6797
r1,إيطاليا,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,1956,28.78,agree,6797
r1,إيطاليا,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,247,3.63,agree,6797
r1,إيطاليا,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,8,0.12,agree,6797
r1,إيطاليا,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,15,0.22,agree,6797
r1,إيطاليا,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,56,0.82,agree,6797
r1,إيطاليا,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,2,0.03,agree,6797
r1,إيطاليا,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,91,1.34,agree,6797
r1,إيطاليا,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,7,0.1,agree,6797
r1,إيطاليا,15,agree,علي شورابي,علي المولدي بن محمد شورابي,5,0.07,agree,6797
r1,إيطاليا,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,45,0.66,agree,6797
r1,إيطاليا,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,7,0.1,agree,6797
r1,إيطاليا,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,1,0.01,agree,6797
r1,إيطاليا,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,16,0.24,agree,6797
r1,إيطاليا,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,16,0.24,agree,6797
r1,إيطاليا,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,60,0.88,agree,6797
r1,إيطاليا,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,2,0.03,agree,6797
r1,إيطاليا,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,24,0.35,agree,6797
r1,إيطاليا,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,3127,46.01,agree,6797
r1,إيطاليا,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,35,0.51,agree,6797
r1,إيطاليا,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,411,6.05,agree,6797
r1,إيطاليا,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,531,7.81,agree,6797
r1,ألمانيا,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,1,0.01,agree,7018
r1,ألمانيا,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,1,0.01,agree,7018
r1,ألمانيا,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,113,1.61,agree,7018
r1,ألمانيا,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,99,1.41,agree,7018
r1,ألمانيا,5,agree,سالم شائبي,سالم بن عمار الشائبي,2,0.03,agree,7018
r1,ألمانيا,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,5,0.07,agree,7018
r1,ألمانيا,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,2067,29.45,agree,7018
r1,ألمانيا,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,120,1.71,agree,7018
r1,ألمانيا,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,4,0.06,agree,7018
r1,ألمانيا,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,8,0.11,agree,7018
r1,ألمانيا,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,40,0.57,agree,7018
r1,ألمانيا,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,1,0.01,agree,7018
r1,ألمانيا,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,90,1.28,agree,7018
r1,ألمانيا,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,9,0.13,agree,7018
r1,ألمانيا,15,agree,علي شورابي,علي المولدي بن محمد شورابي,6,0.09,agree,7018
r1,ألمانيا,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,38,0.54,agree,7018
r1,ألمانيا,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,4,0.06,agree,7018
r1,ألمانيا,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,1,0.01,agree,7018
r1,ألمانيا,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,7,0.1,agree,7018
r1,ألمانيا,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,7,0.1,agree,7018
r1,ألمانيا,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,50,0.71,agree,7018
r1,ألمانيا,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,1,0.01,agree,7018
r1,ألمانيا,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,20,0.28,agree,7018
r1,ألمانيا,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,3308,47.14,agree,7018
r1,ألمانيا,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,5,0.07,agree,7018
r1,ألمانيا,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,161,2.29,agree,7018
r1,ألمانيا,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,850,12.11,agree,7018
r1,القارة الأمريكية وبقية الدول الأوروبية,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,8,0.05,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,4,0.03,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,255,1.63,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,172,1.1,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,5,agree,سالم شائبي,سالم بن عمار الشائبي,2,0.01,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,14,0.09,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,5730,36.66,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,282,1.8,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,7,0.04,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,30,0.19,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,97,0.62,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,0,0.0,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,202,1.29,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,19,0.12,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,15,agree,علي شورابي,علي المولدي بن محمد شورابي,6,0.04,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,60,0.38,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,11,0.07,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,3,0.02,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,4,0.03,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,19,0.12,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,95,0.61,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,3,0.02,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,66,0.42,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,6440,41.2,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,9,0.06,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,240,1.54,agree,15632
r1,القارة الأمريكية وبقية الدول الأوروبية,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,1854,11.86,agree,15632
r1,الدول العربية وباقي دول العالم,1,agree,العربي نصرة,العربي بن الحبيب بن علي نصرة,12,0.1,agree,12543
r1,الدول العربية وباقي دول العالم,2,agree,عبد الرحيم الزواري,عبد الرحيم بن ابراهيم بن عمار الزواري,2,0.02,agree,12543
r1,الدول العربية وباقي دول العالم,3,agree,كلثوم كنو,كلثوم بنت المبروك بن أحمد كنو,136,1.08,agree,12543
r1,الدول العربية وباقي دول العالم,4,agree,كمال مرجان,كمال بن القنطاوي بن المعراجي مرجان,134,1.07,agree,12543
r1,الدول العربية وباقي دول العالم,5,agree,سالم شائبي,سالم بن عمار الشائبي,6,0.05,agree,12543
r1,الدول العربية وباقي دول العالم,6,agree,عبد الرزاق كيلاني,عبد الرزاق بن علي كيلاني,13,0.1,agree,12543
r1,الدول العربية وباقي دول العالم,7,agree,محمد الباجي قايد السبسي,محمد الباجي بن حسونة قايد السبسي,4199,33.48,agree,12543
r1,الدول العربية وباقي دول العالم,8,agree,سليم الرياحي,سليم بن محمد بن المختار الرياحي,342,2.73,agree,12543
r1,الدول العربية وباقي دول العالم,9,agree,عبد القادر لباوي,عبد القادر بن ابراهيم بن مصطفى اللباوي,2,0.02,agree,12543
r1,الدول العربية وباقي دول العالم,10,agree,مصطفى كامل النابلي,مصطفى كامل بن الحاج علي النابلي,22,0.18,agree,12543
r1,الدول العربية وباقي دول العالم,11,agree,أحمد الصافي سعيد,أحمد الصافي بن ابراهيم سعيد,88,0.7,agree,12543
r1,الدول العربية وباقي دول العالم,12,agree,ياسين الشنوفي,يسين بن المولدي بن خليفة الشنوفي,3,0.02,agree,12543
r1,الدول العربية وباقي دول العالم,13,agree,أحمد نجيب الشابي,أحمد نجيب بن عبد العزيز الشابي,212,1.69,agree,12543
r1,الدول العربية وباقي دول العالم,14,agree,حمودة بن سلامة,حمودة بن محمد بن حمودة بن سلامة,19,0.15,agree,12543
r1,الدول العربية وباقي دول العالم,15,agree,علي شورابي,علي المولدي بن محمد شورابي,5,0.04,agree,12543
r1,الدول العربية وباقي دول العالم,16,agree,محمد الفريخة,محمد بن حسن بن محمد الفريخة,61,0.49,agree,12543
r1,الدول العربية وباقي دول العالم,17,agree,محمد الحامدي,محمد بن المبروك بن محمد الحامدي,7,0.06,agree,12543
r1,الدول العربية وباقي دول العالم,18,agree,المختار الماجري,المختار بن محمد الصالح الماجري,0,0.0,agree,12543
r1,الدول العربية وباقي دول العالم,19,agree,عبد الرؤوف العيادي,عبد الرؤوف بن الصادق العيادي,6,0.05,agree,12543
r1,الدول العربية وباقي دول العالم,20,agree,محرز بوصيان,محرز بن الطيب بن التليلي بوصيان,8,0.06,agree,12543
r1,الدول العربية وباقي دول العالم,21,agree,مصطفى بن جعفر,مصطفى بن محمد بن رشيد بن جعفر,92,0.73,agree,12543
r1,الدول العربية وباقي دول العالم,22,agree,نور الدين حشاد,نور الدين بن فرحات بن محمد حشاد,4,0.03,agree,12543
r1,الدول العربية وباقي دول العالم,23,agree,محمد المنذر الزنايدي,محمد المنذر بن عبد العزيز الزنايدي,58,0.46,agree,12543
r1,الدول العربية وباقي دول العالم,24,agree,محمد المنصف المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,5817,46.38,agree,12543
r1,الدول العربية وباقي دول العالم,25,agree,سمير العبدلي,سمير بن عز الدين بن ابراهيم العبدلي,4,0.03,agree,12543
r1,الدول العربية وباقي دول العالم,26,agree,محمد الهاشمي حامدي,محمد الهاشمي بن يوسف حامدي,236,1.88,agree,12543
r1,الدول العربية وباقي دول العالم,27,agree,حمة الهمامي,حمة بن علي بن بوساحة الهمامي,1055,8.41,agree,12543
r2,تونس 1,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,88327,56.94,recomputed,155122
r2,تونس 1,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,66795,43.06,recomputed,155122
r2,تونس 2,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,136194,70.3,recomputed,193723
r2,تونس 2,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,57529,29.7,recomputed,193723
r2,أريانة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,104503,64.52,recomputed,161967
r2,أريانة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,57464,35.48,recomputed,161967
r2,منوبة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,58959,57.43,recomputed,102670
r2,منوبة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,43711,42.57,recomputed,102670
r2,بن عروس,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,113542,57.64,recomputed,196976
r2,بن عروس,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,83434,42.36,recomputed,196976
r2,بنزرت,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,85547,59.99,recomputed,142592
r2,بنزرت,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,57045,40.01,recomputed,142592
r2,نابل 1,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,93298,70.33,recomputed,132662
r2,نابل 1,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,39364,29.67,recomputed,132662
r2,نابل 2,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,73958,70.55,recomputed,104833
r2,نابل 2,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,30875,29.45,recomputed,104833
r2,زغوان,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,28400,62.34,recomputed,45559
r2,زغوان,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,17159,37.66,recomputed,45559
r2,باجة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,51588,70.55,recomputed,73121
r2,باجة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,21533,29.45,recomputed,73121
r2,الكاف,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,51100,75.36,recomputed,67804
r2,الكاف,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,16704,24.64,recomputed,67804
r2,سليانة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,34810,71.22,recomputed,48874
r2,سليانة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,14064,28.78,recomputed,48874
r2,جندوبة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,60864,69.74,recomputed,87274
r2,جندوبة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,26410,30.26,recomputed,87274
r2,القيروان,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,55651,50.43,recomputed,110353
r2,القيروان,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,54702,49.57,recomputed,110353
r2,سوسة,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,126399,67.3,recomputed,187809
r2,سوسة,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,61410,32.7,recomputed,187809
r2,المنستير,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,122387,73.38,recomputed,166781
r2,المنستير,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,44394,26.62,recomputed,166781
r2,المهدية,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,64627,67.6,recomputed,95609
r2,المهدية,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,30982,32.4,recomputed,95609
r2,القصرين,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,49488,53.01,recomputed,93353
r2,القصرين,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,43865,46.99,recomputed,93353
r2,سيدي بوزيد,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,52005,62.06,recomputed,83794
r2,سيدي بوزيد,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,31789,37.94,recomputed,83794
r2,قفصة,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,60547,64.21,recomputed,94300
r2,قفصة,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,33753,35.79,recomputed,94300
r2,توزر,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,25010,70.43,recomputed,35511
r2,توزر,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,10501,29.57,recomputed,35511
r2,صفاقس 1,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,69675,57.73,recomputed,120689
r2,صفاقس 1,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,51014,42.27,recomputed,120689
r2,صفاقس 2,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,86256,51.79,recomputed,166548
r2,صفاقس 2,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,80292,48.21,recomputed,166548
