adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN116354,Tunis,Hrairia,El Akba Superieur,4,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116355,Tunis,Hrairia,Ghedir El Golla,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116356,Tunis,Hrairia,El Antit,3,2,66.7,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116357,Tunis,Hrairia,El Foula,3,1,33.3,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116358,Tunis,Hrairia,Tarak Ibn Ziad,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116359,Tunis,Hrairia,Ezzahrouni,20,4,20.0,1,25.0,4.6,69.9,1,25.0,1,0,0,1,0,0,25.0,0.0,0.0,0
TN116451,Tunis,Sidi Hassine,Borj-Chakir,6,2,33.3,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN116452,Tunis,Sidi Hassine,Sidi Hassine,11,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116453,Tunis,Sidi Hassine,El Jaiara,8,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116454,Tunis,Sidi Hassine,Attar,9,1,11.1,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116455,Tunis,Sidi Hassine,20 Mars,5,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116456,Tunis,Sidi Hassine,Byrine,5,1,20.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2
TN116457,Tunis,Sidi Hassine,Meghiret Inzel,6,4,66.7,4,100.0,51.0,100.0,5,125.0,5,0,0,4,0,0,100.0,0.0,0.0,1
TN116458,Tunis,Sidi Hassine,25 Juillet,5,1,20.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116459,Tunis,Sidi Hassine,14 Janvier,10,3,30.0,2,66.7,20.8,93.9,2,66.7,2,0,0,2,0,0,66.7,0.0,0.0,0
